,level_0,index,Unnamed: 0,latitude,longitude
1087,1087,2348,2348,47.269234 ,11.182966
1088,1088,2350,2350,50.857585 ,5.809624
1089,1089,2352,2352,49.711287 ,-54.059949
1090,1090,2353,2353,46.946512 ,7.434997
1091,1091,2355,2355,38.46806 ,106.27306
1092,1092,2356,2356,41.36169 ,-83.62299
1093,1093,2357,2357,25 ,45
1094,1094,2359,2359,38.46806 ,106.27306
1095,1095,2362,2362,4.25 ,-74.18333
1096,1096,2369,2369,41.689785 ,-73.022303
1097,1097,2370,2370,43.570125 ,17.874871
1098,1098,2372,2372,36.223189 ,43.992625
1099,1099,2374,2374,53.566578 ,9.965491
1100,1100,2376,2376,48.315259 ,14.305121
1101,1101,2378,2378,38.46806 ,106.27306
1102,1102,2380,2380,8.616696 ,-13.198092
1103,1103,2383,2383,49.170979 ,-66.334046
1104,1104,2384,2384,44.375875 ,7.522388
1105,1105,2385,2385,-22.47 ,-43.82556
1106,1106,2386,2386,51.315348 ,9.539097
1107,1107,2387,2387,52.275113 ,-1.547099
1108,1108,2388,2388,9.598 ,138.1665
1109,1109,2390,2390,44.632531 ,-93.371892
1110,1110,2391,2391,19.426399 ,-99.170338
1111,1111,2392,2392,50.451827 ,30.525852
1112,1112,2398,2398,-26.891587 ,-49.085871
1113,1113,2401,2401,48.110578 ,11.450668
1114,1114,2402,2402,41.135892 ,0.651719
1115,1115,2403,2403,42.392616 ,-71.259491
1116,1116,2405,2405,40.107509 ,-89.376854
1117,1117,2407,2407,47.451068 ,8.565125
1118,1118,2409,2409,51.465532 ,-0.213083
1119,1119,2411,2411,-22.854586 ,-47.049094
1120,1120,2415,2415,50.969546 ,-0.883874
1121,1121,2417,2417,55.763682 ,37.642162
1122,1122,2419,2419,-34.623945 ,-58.427
1123,1123,2420,2420,42.242865 ,-83.744346
1124,1124,2423,2423,55.857808 ,48.819654
1125,1125,2426,2426,49.51281 ,5.935415
1126,1126,2428,2428,48.829077 ,2.237703
1127,1127,2430,2430,52.504678 ,13.449021
1128,1128,2431,2431,-11.924823 ,-77.083473
1129,1129,2433,2433,38.750319 ,-91.966016
1130,1130,2436,2436,38.46806 ,106.27306
1131,1131,2437,2437,47.390891 ,8.055779
1132,1132,2440,2440,50.985836 ,-0.273958
1133,1133,2442,2442,40.62976 ,-91.31515
1134,1134,2443,2443,37.230614 ,-94.831904
1135,1135,2444,2444,48.841691 ,2.242722
1136,1136,2445,2445,49.964436 ,11.603404
1137,1137,2448,2448,47.796439 ,9.624863
1138,1138,2451,2451,48.034551 ,11.587031
1139,1139,2453,2453,48.864212 ,2.360936
1140,1140,2457,2457,26.493888 ,127.865372
1141,1141,2458,2458,47.23333 ,22.65
1142,1142,2460,2460,25.029422 ,-77.361956
1143,1143,2462,2462,46.379475 ,11.106842
1144,1144,2463,2463,52.25 ,5.75
1145,1145,2464,2464,48.355657 ,9.915378
1146,1146,2466,2466,38.46806 ,106.27306
1147,1147,2469,2469,40 ,-4
1148,1148,2472,2472,25.029422 ,-77.361956
1149,1149,2475,2475,49.459294 ,9.889831
1150,1150,2477,2477,50.459621 ,3.929831
1151,1151,2478,2478,6.89359 ,80.596756
1152,1152,2479,2479,47.107771 ,-101.352449
1153,1153,2481,2481,46.263781 ,8.696755
1154,1154,2485,2485,-23.26536 ,-45.892858
1155,1155,2491,2491,-3.20333 ,-52.20639
1156,1156,2492,2492,8.5 ,-11.5
1157,1157,2495,2495,23.504868 ,72.41884
1158,1158,2496,2496,47.449561 ,8.56496
1159,1159,2500,2500,37.09784 ,41.4322
1160,1160,2504,2504,33.5102 ,36.29128
1161,1161,2505,2505,8.5 ,-11.5
1162,1162,2508,2508,33.7208 ,-117.75168
1163,1163,2509,2509,40.558449 ,-8.413426
1164,1164,2513,2513,52.845879 ,8.040395
1165,1165,2514,2514,49.474632 ,8.509317
1166,1166,2515,2515,47.5253 ,18.993636
1167,1167,2516,2516,52.854463 ,-119.246012
1168,1168,2518,2518,52.388861 ,9.749965
1169,1169,2524,2524,46.762732 ,-56.177695
1170,1170,2526,2526,38.46806 ,106.27306
1171,1171,2531,2531,41.695095 ,2.509612
1172,1172,2533,2533,52.079298 ,4.354722
1173,1173,2535,2535,30.893878 ,-82.692347
1174,1174,2537,2537,48.944688 ,8.381103
1175,1175,2543,2543,35.679283 ,139.80956
1176,1176,2544,2544,55.835634 ,37.954136
1177,1177,2546,2546,50.645268 ,6.922865
1178,1178,2548,2548,53.540602 ,14.552663
1179,1179,2549,2549,48.190028 ,16.351035
1180,1180,2550,2550,36.168268 ,-86.779651
1181,1181,2553,2553,13.007822 ,77.564494
1182,1182,2562,2562,30.632654 ,-88.073234
1183,1183,2564,2564,-26.672146 ,153.096088
1184,1184,2569,2569,35.609479 ,140.305566
1185,1185,2576,2576,8.5 ,-11.5
1186,1186,2583,2583,34.23314 ,-102.41075
1187,1187,2586,2586,8.5 ,-11.5
1188,1188,2592,2592,37.942583 ,23.645261
1189,1189,2593,2593,13.042322 ,77.529426
1190,1190,2598,2598,13.16667 ,-59.53333
1191,1191,2601,2601,39.322584 ,-76.608112
1192,1192,2606,2606,46 ,2
1193,1193,2608,2608,58.555202 ,26.712397
1194,1194,2609,2609,43.233655 ,-2.764133
1195,1195,2610,2610,-0.279479 ,-78.467519
1196,1196,2612,2612,53.785571 ,-3.046295
1197,1197,2616,2616,50.658549 ,6.694074
1198,1198,2617,2617,36.052257 ,-102.002399
1199,1199,2620,2620,22 ,-102.5
1200,1200,2622,2622,8.5 ,-11.5
1201,1201,2623,2623,40 ,-4
1202,1202,2626,2626,51.537422 ,-0.061001
1203,1203,2627,2627,-2.91673 ,104.7458
1204,1204,2630,2630,-34.57016 ,-58.450006
